serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5711154688560354,0.5420831886860803,0.5979933938127958,TRUE
4,PCV14,0.5583964566292283,0.49577300801496876,0.6129492331586452,TRUE
4,PCV15,0.560321087729079,0.5264332778891677,0.5911645725959753,TRUE
4,PCV20,0.5176485688454577,0.4656673222802137,0.5653575701299425,TRUE
6B,PCV10,0.6344615429325484,0.5851734508156959,0.6771091028472453,TRUE
6B,PCV13,0.5995993845497278,0.580139672132571,0.6184384227461129,TRUE
6B,PCV14,0.5721649620804066,0.5026129429780343,0.6330864449709614,TRUE
6B,PCV15,0.5857654943407737,0.5615358044529164,0.6086323553014765,TRUE
6B,PCV20,0.5291060206819391,0.4797932377945896,0.5739970899852171,TRUE
9V,PCV10,0.5960409569169804,0.5574999168042022,0.631211993981805,TRUE
9V,PCV13,0.5846338858803584,0.5644880226270566,0.6038662964905663,TRUE
9V,PCV14,0.5827939599462225,0.5349616174347063,0.6246467399446122,TRUE
9V,PCV15,0.5769772111185313,0.5539227277502806,0.599203647992048,TRUE
9V,PCV20,0.5399563890421872,0.5001767276768488,0.5763581894075485,TRUE
14,PCV10,0.5919424516841909,0.5389730548370754,0.6397179113051499,TRUE
14,PCV13,0.574623517611908,0.5518864439954686,0.5959432210020343,TRUE
14,PCV14,0.5650935254812159,0.5135991984827779,0.6118674215079452,TRUE
14,PCV15,0.5408610257451425,0.5109732525128116,0.5690378325994213,TRUE
14,PCV20,0.544150778133027,0.5113140628845287,0.5751170832258851,TRUE
18C,PCV13,0.5798332084183806,0.5581787077791537,0.6002575627434358,TRUE
18C,PCV14,0.5854432530744654,0.533263650688807,0.6324063895147913,TRUE
18C,PCV15,0.5757846947857399,0.5514059057687717,0.5984018643211643,TRUE
18C,PCV20,0.5269653608958187,0.48090230463762235,0.5679836572612598,TRUE
19F,PCV10,0.667595997888456,0.6175086921892622,0.7112734954910414,TRUE
19F,PCV13,0.6255143099115779,0.6040832958380197,0.6455459698503014,TRUE
19F,PCV14,0.6396493197602864,0.5937618885663785,0.6809669725748517,TRUE
19F,PCV15,0.6165444557234703,0.5930903544441876,0.6387424928556157,TRUE
19F,PCV20,0.5986803974036451,0.568620461496045,0.6259560586566665,TRUE
23F,PCV10,0.5659641400664482,0.5084089096270605,0.6178213092879238,TRUE
23F,PCV13,0.5662331968520572,0.5331823653514636,0.5972672644947588,TRUE
23F,PCV14,0.557649893848136,0.4896811709179927,0.616289748236151,TRUE
23F,PCV15,0.5479281221784388,0.5090612590052473,0.5835645374877486,TRUE
23F,PCV20,0.4642931464168459,0.378812025388663,0.5373011948090012,TRUE
1,PCV10,0.4301791028557802,-0.02072513664930341,0.6823024296194468,FALSE
1,PCV13,0.5090418064600122,0.1493383385884107,0.7159402408883216,FALSE
1,PCV14,0.4727609539564154,0.07988718624941869,0.701171421792602,FALSE
1,PCV15,0.4850952941934819,0.1070096688476036,0.7029804504808319,FALSE
1,PCV20,0.44669041965473144,0.033509702248394065,0.6834147601937975,FALSE
3,PCV13,0.17395897694303808,-0.16642282842356085,0.4148014087610601,FALSE
3,PCV14,0.19026549827394978,-0.1598490079049695,0.4383134739011692,FALSE
3,PCV15,0.2095039652094023,-0.12247662394678403,0.44173099193776666,FALSE
3,PCV20,0.1040552908017896,-0.28019586288978443,0.37212258143365196,FALSE
5,PCV10,0.47170433954130386,0.2084187919528418,0.6461058680335073,FALSE
5,PCV13,0.42383948163997337,0.16450748936260917,0.5993735035122643,FALSE
5,PCV14,0.40683147670151204,0.12576392224265517,0.5968096538149017,FALSE
5,PCV15,0.3788643637068175,0.09702665931197169,0.5698794330800833,FALSE
5,PCV20,0.34771204418175916,0.044397798960245004,0.5543249617568651,FALSE
6A,PCV10,0.43383803644186086,0.306512547791329,0.5358290045626916,FALSE
6A,PCV13,0.4024719944299732,0.28530523589648743,0.4979178594458687,FALSE
6A,PCV15,0.3223468651486244,0.1858646557739385,0.4343893211259176,FALSE
6A,PCV20,0.3169801277447863,0.1766564037556236,0.43220195992248384,FALSE
7F,PCV10,0.577416825998368,0.13622615398849858,0.7929473814468451,FALSE
7F,PCV13,0.5856367654166266,0.15897351437308319,0.7959576867022385,FALSE
7F,PCV14,0.5829334232297646,0.1453484493555065,0.7960649948934068,FALSE
7F,PCV15,0.5345994205024873,0.050876728528547945,0.7711385755681376,FALSE
7F,PCV20,0.522529133920423,0.026572117829154654,0.7663384468010748,FALSE
19A,PCV10,0.4156416386690772,0.2764912484072111,0.52951618509043,FALSE
19A,PCV13,0.3316893295305064,0.2272136315827683,0.422448314910789,FALSE
19A,PCV14,0.3201471841400214,0.18410740264737438,0.43414030902576195,FALSE
19A,PCV15,0.30249847507184213,0.19317759301996978,0.39813014508365346,FALSE
19A,PCV20,0.2894233490399457,0.17426219331041343,0.3901034617520454,FALSE
